Word,V.Mean.Sum,A.Mean.Sum,V.Mean.M,V.Mean.F,A.Mean.M,A.Mean.F,V.Mean.Y,V.Mean.O,A.Mean.Y,A.Mean.O
fiesta,6.72,6.22,6.45,7.14,7.75,5.79,7.25,6.3,6.57,6
fifteen,4.94,3.65,6,4.54,04.09,3.11,4.14,5.45,2.67,4.45
fifty,4.74,3.45,5.12,4.53,3.8,3.17,5.5,3.91,3.18,3.73
fig,5.23,4.22,5.88,4.85,4.25,4.29,5.25,5.23,4.89,3.79
fight,3.54,6.33,3.95,2.8,6.17,6.42,3.5,3.5,6.4,6.25
fighter,5.1,5.3,5.27,4.9,5.64,5,6,4.27,5.18,5.42
figment,5,4.35,5.62,3.67,5.4,4,5.67,4.4,5.71,3.62
figure,05.09,3.67,4.67,5.13,3.29,3.86,4.5,6,3.44,3.83
file,5.44,3.4,4.62,6.1,3.71,3.23,05.09,6,3.44,3.36
filet,6.14,3.18,7.22,5.33,2.83,3.27,6.33,6,3,3.24
fill,5.56,3.35,4.62,6.3,3.71,3.15,5.18,6.14,2.89,3.73
filler,4.9,3.89,5.67,4.6,3.88,3.91,5.83,4.53,4.5,3.22
fillet,6.7,4.62,7,6.4,5.62,4,6.56,6.82,4.77,4.38
filly,05.05,2.92,5.25,4.92,3,2.89,4.75,5.44,3.3,2.64
film,6.33,4.1,5.25,7.2,4.14,04.07,5.73,7.29,3.78,4.33
filmmaker,5.48,3.96,5.44,5.5,4.27,3.67,4.86,5.77,4.45,3.5
filter,5.5,3.62,5.7,5.3,3.88,3.46,5.56,5.45,3.85,3.25
filth,2.62,04.09,2.85,2.5,3.3,4.28,2.45,2.82,4.33,3.96
filthy,3.42,4.65,4.62,2.55,4.67,4.64,3,3.8,4.33,5
filtration,5.55,4.17,5.4,5.56,4.75,3.7,5.33,5.8,3.89,4.44
fin,5.27,4.45,5.88,4.93,5.3,3.75,5.91,4.64,4.45,4.45
final,4.56,4.4,4.38,4.7,3.71,4.77,4.18,5.14,3.44,5.18
finale,5.26,4.27,5.5,5.13,5,3.67,05.08,5.45,4.27,4.27
finalist,6.24,3.3,5.67,6.67,3.27,3.33,4.86,6.92,3.55,03.08
finality,4.43,4.18,4.22,4.58,5,3.87,4.44,4.42,4.8,4
finalize,5.6,4.85,6.12,5.25,7.2,04.07,5.85,5.14,5.17,4.38
finance,4.81,5.6,5.17,4.67,5.5,5.67,5.5,4.53,5.7,5.5
financial,5,4.55,5.14,4.92,4.11,4.91,5.1,4.78,3.25,5.42
finch,4.74,3.52,5,4.69,3.25,3.69,4.67,4.8,3.89,3.25
find,6.45,3.52,7.33,6.13,2.43,04.07,6.43,6.57,3.22,3.75
finder,5.77,4.35,6.12,5.38,4.75,4.14,5.88,5.54,4.67,4.14
fine,6.5,3.86,6.5,6.4,4.86,3.36,6.36,6.57,4,3.75
finesse,6,3.86,6,6,2.2,4.5,6.29,5.33,3.83,4.11
finger,5.8,4.15,6.15,5.63,5.26,3.41,06.06,5.61,4.96,3.33
fingernail,5.57,3.5,6,5.4,4,3.17,6.33,5,3.78,3.27
fingerprint,5.25,3.29,4.67,5.35,3.43,3.38,5,5.38,3.43,3.38
finish,6.41,3.81,6.67,6.33,3.29,04.07,6.36,6.57,4.44,3.33
finite,5.68,4.43,5.33,6,5,4.13,5.89,5.5,4.3,4.5
fir,5,3,4.5,5.12,2.75,03.06,5.25,4.83,3.1,2.91
fire,4.32,06.05,3.83,4.54,6,06.07,4.4,4.22,6.71,5.71
firearm,4,4.54,5.12,3.31,6,04.06,4.5,3.33,5.5,3.86
fireball,3.71,6.13,5,3.31,6.33,5.91,3.33,4.22,6.25,5.86
firecracker,5.7,6.67,6.67,5.53,6.29,6.92,6.71,5.15,7,6.54
firefight,4.32,5.5,04.09,4.62,8,4.79,3.88,4.64,5.57,5.45
firefighter,6.6,4.94,7.2,6.4,5.5,4.67,6.5,6.7,5.4,4.38
firefly,07.05,4.85,6.11,7.9,4.25,5.25,5.43,8,6,04.08
firehouse,5.16,4.73,4.33,5.54,5.5,3.8,5.2,5.11,5.33,4.31
firelight,6.38,3.58,6.88,06.08,3.46,3.73,7.12,6.25,04.07,2.9
fireman,6.47,4.52,6.22,6.7,4.14,4.73,7.22,5.8,5,4.17
fireplace,5.95,5.2,6.12,5.85,5.4,5.13,6.15,5.62,5.17,5.25
firepower,5.84,5.91,7,5.17,5.5,6.25,5.73,6,5.89,5.92
fireside,6,4,5.4,6.2,4.6,3.75,6.1,5.9,3.78,4.25
